"","Start_Time","End_Time","Duration","Subject","Behavior","Behavioral category","Modifier 1","Comment"
"1",539.402,543.901,4.499,"R3","Q2","Location","",""
"2",541.152,543.902,2.75,"R3","Touching","Distance","Robot",""
"3",541.195,565.21,24.015,"R4","Q2","Location","",""
"4",541.444,557.693,16.249,"R4","Touching","Distance","Robot",""
"5",541.694,544.189,2.495,"R2","Touching","Distance","Plush",""
"6",541.937,574.447,32.51,"R1","Q2","Location","",""
"7",543.445,546.944,3.499,"R2","Q3","Location","",""
"8",543.902,545.893,1.991,"R3","Q1","Location","",""
"9",545.894,552.901,7.007,"R3","Q3","Location","",""
"10",545.941,546.941,1,"R2","Touching","Distance","Donor",""
"11",546.2,553.949,7.749,"R1","Q1","Location","",""
"12",546.942,547.943,1.001,"R2","Touching","Distance","R4",""
"13",546.945,566.442,19.497,"R2","Q2","Location","",""
"14",547.402,548.404,1.002,"R3","Touching","Distance","Pen Walls",""
"15",548.405,551.651,3.246,"R3","Touching","Distance","Plush",""
"16",548.698,549.7,1.002,"R2","Touching","Distance","Pen Walls",""
"17",551.652,552.902,1.25,"R3","Touching","Distance","Pen Walls",""
"18",552.686,556.056,3.37,"R1","Touching","Distance","Ball",""
"19",552.692,553.437,0.745,"Donor","Touching","Distance","Robot",""
"20",552.902,569.902,17,"R3","Q2","Location","",""
"21",552.942,554.443,1.501,"Donor","Q2","Location","",""
"22",553.45,554.708,1.258,"R2","Touching","Distance","Robot",""
"23",553.651,557.401,3.75,"R3","Touching","Distance","Pen Walls",""
"24",553.95,569.699,15.749,"R1","Q0","Location","",""
"25",554.442,554.689,0.247,"Donor","Touching","Distance","Keys",""
"26",554.444,584.691,30.247,"Donor","Q3","Location","",""
"27",554.709,555.473,0.764,"R2","Touching","Distance","R4",""
"28",555.189,556.691,1.502,"Donor","Touching","Distance","Ball",""
"29",556.451,557.953,1.502,"R2","Touching","Distance","Pen Walls",""
"30",557.402,557.65,0.248,"R3","Touching","Distance","R4",""
"31",558.151,559.154,1.003,"R3","Touching","Distance","R2",""
"32",558.191,566.216,8.025,"Donor","Touching","Distance","Plush",""
"33",558.699,560.209,1.51,"R2","Touching","Distance","Pen Walls",""
"34",559.155,560.906,1.751,"R3","Touching","Distance","Pen Walls",""
"35",560.467,560.707,0.24,"R2","Touching","Distance","Cups",""
"36",560.708,562.701,1.993,"R2","Touching","Distance","Pen Walls",""
"37",563.201,563.702,0.501,"R2","Touching","Distance","R3",""
"38",563.402,563.643,0.241,"R3","Touching","Distance","R2",""
"39",563.644,567.151,3.507,"R3","Touching","Distance","Pen Walls",""
"40",563.964,564.965,1.001,"R2","Touching","Distance","Robot",""
"41",565.211,584.983,19.772,"R4","Q3","Location","",""
"42",565.963,565.965,0.002,"R2","Touching","Distance","R1",""
"43",566.195,566.4,0.205,"R1","Touching","Distance","R2",""
"44",566.443,569.695,3.252,"R2","Q0","Location","",""
"45",567.152,568.152,1,"R3","Touching","Distance","Cups",""
"46",567.447,567.868,0.421,"R1","Touching","Distance","R2",""
"47",567.968,573.963,5.995,"Donor","Touching","Distance","Plush",""
"48",568.696,569.002,0.306,"R1","Touching","Distance","Cat Tower Toy",""
"49",569.154,580.154,11,"R3","Touching","Distance","Robot",""
"50",569.444,569.636,0.192,"R1","Touching","Distance","R2",""
"51",569.635,607.478,37.843,"R1","Touching","Distance","Cat Tower Toy",""
"52",569.696,576.695,6.999,"R2","Q1","Location","",""
"53",569.7,574.446,4.746,"R1","Q1","Location","",""
"54",569.903,570.647,0.744,"R3","Q1","Location","",""
"55",570.445,570.904,0.459,"R1","Chase","Interaction","R2",""
"56",570.46,573.708,3.248,"R4","Touching","Distance","Donor",""
"57",570.467,572.471,2.004,"R2","Touching","Distance","Pen Walls",""
"58",570.648,585.651,15.003,"R3","Q2","Location","",""
"59",570.694,575.196,4.502,"R1","Touching","Distance","R2",""
"60",571.462,575.22,3.758,"R2","Bite/Chew","Interaction","R1",""
"61",571.695,574.692,2.997,"R1","Bite/Chew","Interaction","R2",""
"62",572.472,575.219,2.747,"R2","Touching","Distance","R1",""
"63",573.709,575.711,2.002,"R4","Touching","Distance","Plush",""
"64",573.964,574.717,0.753,"Donor","Touching","Distance","Pen Walls",""
"65",574.718,576.229,1.511,"Donor","Touching","Distance","Plush",""
"66",575.22,576.965,1.745,"R2","Touching","Distance","Robot",""
"67",575.712,577.96,2.248,"R4","Touching","Distance","Donor",""
"68",576.23,577.478,1.248,"Donor","Touching","Distance","R4",""
"69",576.696,580.444,3.748,"R2","Q3","Location","",""
"70",576.966,578.716,1.75,"R2","Touching","Distance","R3",""
"71",578.479,578.976,0.497,"Donor","Touching","Distance","Plush",""
"72",579.196,579.475,0.279,"R1","Touching","Distance","Robot",""
"73",579.476,580.477,1.001,"R1","Touching","Distance","R3",""
"74",579.979,584.234,4.255,"R2","Touching","Distance","R3",""
"75",580.155,581.154,0.999,"R3","Touching","Distance","Cups",""
"76",580.215,583.024,2.809,"R4","Touching","Distance","Plush",""
"77",580.445,592.699,12.254,"R2","Q2","Location","",""
"78",580.726,582.979,2.253,"Donor","Touching","Distance","Plush",""
"79",581.901,583.653,1.752,"R3","Touching","Distance","R2",""
"80",582.695,584.946,2.251,"R1","Q2","Location","",""
"81",582.696,584.945,2.249,"R1","Q1","Location","",""
"82",583.025,603.236,20.211,"R4","Touching","Distance","Donor",""
"83",583.654,584.651,0.997,"R3","Touching","Distance","Pen Walls",""
"84",583.978,584.725,0.747,"R1","Touching","Distance","R3",""
