"","Start_Time","End_Time","Duration","Subject","Behavior","Behavioral category","Modifier 1","Comment"
"1",541.229,545.193,3.964,"R1","Q0","Location","",""
"2",541.696,552.445,10.749,"R1","Touching","Distance","Cat Tower Toy",""
"3",543.681,548.68,4.999,"Donor","Q2","Location","",""
"4",545.194,553.445,8.251,"R1","Q1","Location","",""
"5",545.706,554.464,8.758,"R4","Touching","Distance","Robot",""
"6",547.179,548.681,1.502,"Donor","Touching","Distance","Robot",""
"7",548.681,585.219,36.538,"Donor","Q3","Location","",""
"8",548.985,551.723,2.738,"R3","Touching","Distance","Plush",""
"9",551.182,553.182,2,"Donor","Touching","Distance","Robot",""
"10",552.446,555.944,3.498,"R1","Touching","Distance","Ball",""
"11",553.316,555.972,2.656,"R3","Touching","Distance","Pen Walls",""
"12",553.446,569.467,16.021,"R1","Q0","Location","",""
"13",553.965,554.975,1.01,"R2","Touching","Distance","R4",""
"14",554.182,554.932,0.75,"Donor","Touching","Distance","Keys",""
"15",554.957,556.467,1.51,"Donor","Touching","Distance","Ball",""
"16",556.713,557.461,0.748,"R4","Touching","Distance","Robot",""
"17",557.72,565.959,8.239,"Donor","Touching","Distance","Plush",""
"18",559.479,562.962,3.483,"R2","Touching","Distance","Pen Walls",""
"19",559.486,560.981,1.495,"R3","Touching","Distance","Pen Walls",""
"20",564.974,567.721,2.747,"R3","Touching","Distance","Pen Walls",""
"21",566.195,567.696,1.501,"R1","Touching","Distance","R2",""
"22",566.448,568.196,1.748,"R2","Touching","Distance","R1",""
"23",567.459,575.707,8.248,"Donor","Touching","Distance","Plush",""
"24",569.468,574.978,5.51,"R1","Q1","Location","",""
"25",569.721,572.466,2.745,"R3","Touching","Distance","Robot",""
"26",570.445,572.191,1.746,"R2","Touching","Distance","Pen Walls",""
"27",570.696,572.47,1.774,"R1","Snuggle","Interaction","R2,R2,R2",""
"28",571.696,574.946,3.25,"R2","Bite/Chew","Interaction","R1",""
"29",572.192,574.946,2.754,"R2","Touching","Distance","R1",""
"30",574.236,575.728,1.492,"R4","Touching","Distance","Plush",""
"31",574.979,581.968,6.989,"R1","Q2","Location","",""
"32",575.708,577.208,1.5,"Donor","Touching","Distance","R4",""
"33",576.447,578.696,2.249,"R2","Touching","Distance","R3,Robot",""
"34",577.209,582.457,5.248,"Donor","Touching","Distance","Plush",""
"35",579.227,581.469,2.242,"R1","Touching","Distance","Robot",""
"36",579.977,583.991,4.014,"R3","Touching","Distance","R2",""
"37",581.735,583.485,1.75,"R2","Touching","Distance","R3",""
"38",581.969,583.468,1.499,"R1","Q1","Location","",""
"39",582.458,587.965,5.507,"Donor","Touching","Distance","R4",""
"40",583.469,592.752,9.283,"R1","Q2","Location","",""
"41",583.992,584.989,0.997,"R3","Touching","Distance","R1",""
"42",585.22,608.219,22.999,"Donor","Q0","Location","",""
"43",585.73,587.233,1.503,"R1","Snuggle","Interaction","R2,R2,R2",""
"44",585.995,591.001,5.006,"R2","Touching","Distance","R1",""
"45",586.249,591.001,4.752,"R2","Bite/Chew","Interaction","R1",""
"46",587.965,602.968,15.003,"Donor","Snuggle","Interaction","R4,R4,R4",""
"47",588.49,590.993,2.503,"R1","Touching","Distance","R2",""
"48",589.737,590.495,0.758,"R3","Touching","Distance","Cat Tower Toy",""
"49",592.254,596.254,4,"R1","Chase","Interaction","R2",""
"50",592.496,594.26,1.764,"R2","Touching","Distance","Cat Tower Toy",""
"51",592.753,595.752,2.999,"R1","Q1","Location","",""
"52",593.253,594.75,1.497,"R1","Snuggle","Interaction","R2,R2,R2",""
"53",595.753,601.503,5.75,"R1","Q0","Location","",""
"54",596.254,602.004,5.75,"R1","Touching","Distance","Robot",""
"55",599.011,603.255,4.244,"R2","Touching","Distance","Plush",""
"56",601.504,617.033,15.529,"R1","Q1","Location","",""
"57",603.256,604.512,1.256,"R2","Touching","Distance","Pen Walls",""
"58",604.221,605.72,1.499,"Donor","Touching","Distance","R4",""
"59",606.467,608.22,1.753,"Donor","Touching","Distance","Cups",""
"60",607.012,608.508,1.496,"R2","Touching","Distance","R4",""
"61",607.251,608.753,1.502,"R1","Touching","Distance","Cat Tower Toy",""
"62",608.22,612.221,4.001,"Donor","Q3","Location","",""
"63",608.97,610.721,1.751,"Donor","Touching","Distance","Plush",""
"64",612.264,615.521,3.257,"R1","Touching","Distance","Cat Tower Toy",""
"65",612.503,614.49,1.987,"R3","Touching","Distance","R4",""
"66",613.29,622.72,9.43,"Donor","Q2","Location","",""
"67",615.221,617.723,2.502,"Donor","Touching","Distance","R2",""
"68",615.506,617.007,1.501,"R2","Touching","Distance","Donor",""
"69",617.034,621.03,3.996,"R1","Q2","Location","",""
"70",618.722,619.72,0.998,"Donor","Touching","Distance","Pen Walls",""
"71",619.721,626.219,6.498,"Donor","Chase","Interaction","R2",""
"72",621.031,623.782,2.751,"R1","Q3","Location","",""
"73",622.721,624.718,1.997,"Donor","Q3","Location","",""
"74",623.783,627.533,3.75,"R1","Q2","Location","",""
"75",624.719,637.967,13.248,"Donor","Q0","Location","",""
"76",624.719,632.971,8.252,"Donor","Touching","Distance","Robot",""
"77",627.534,631.533,3.999,"R1","Q3","Location","",""
"78",628.534,630.028,1.494,"R1","Touching","Distance","Plush",""
