"","Start_Time","End_Time","Duration","Subject","Behavior","Behavioral category","Modifier 1","Comment"
"1",570.776,609.27,38.494,"Donor","Quadrant","Location","3",""
"2",570.776,583.096,12.32,"Donor","Touching","Distance","Plush",""
"3",571.091,572.128,1.037,"R1","Quadrant","Location","1",""
"4",571.091,575.591,4.5,"R1","Touching","Distance","R2",""
"5",572.966,575.64,2.674,"R2","Quadrant","Location","1",""
"6",572.966,575.64,2.674,"R2","Touching","Distance","R1",""
"7",573.101,586.824,13.723,"R4","Quadrant","Location","3",""
"8",573.825,585.563,11.738,"R3","Quadrant","Location","2",""
"9",573.825,581.338,7.513,"R3","Touching","Distance","Robot",""
"10",574.591,593.574,18.983,"R1","Quadrant","Location","2",""
"11",575.586,581.589,6.003,"R4","Touching","Distance","Donor",""
"12",575.641,587.832,12.191,"R2","Quadrant","Location","2",""
"13",575.641,579.12,3.479,"R2","Touching","Distance","Robot",""
"14",580.086,581.088,1.002,"R1","Touching","Distance","Robot",""
"15",580.609,582.592,1.983,"R2","Snuggle","Interaction","R3",""
"16",581.339,585.564,4.225,"R3","Touching","Distance","R2",""
"17",582.592,586.332,3.74,"R2","Touching","Distance","R3",""
"18",583.103,607.111,24.008,"R4","Touching","Distance","Donor",""
"19",585.073,595.073,10,"R1","Snuggle","Interaction","R2",""
"20",585.073,595.073,10,"R1","Touching","Distance","R2",""
"21",585.564,591.043,5.479,"R3","Quadrant","Location","1",""
"22",586.08,587.833,1.753,"R2","Snuggle","Interaction","R1",""
"23",586.825,642.601,55.776,"R4","Quadrant","Location","0",""
"24",588.343,593.077,4.734,"R2","Quadrant","Location","2",""
"25",588.569,609.269,20.7,"Donor","Quadrant","Location","0",""
"26",588.569,591.048,2.479,"Donor","Touching","Distance","Plush",""
"27",589.332,605.111,15.779,"R4","Snuggle","Interaction","Donor",""
"28",589.557,591.044,1.487,"R3","Touching","Distance","Cat Tower Toy",""
"29",590.327,592.605,2.278,"R2","Snuggle","Interaction","R1",""
"30",591.044,637.277,46.233,"R3","Quadrant","Location","0",""
"31",591.049,607.022,15.973,"Donor","Touching","Distance","R4",""
"32",592.082,592.832,0.75,"R2","Touching","Distance","Robot",""
"33",592.833,594.076,1.243,"R2","Touching","Distance","Cat Tower Toy",""
"34",593.078,596.58,3.502,"R2","Quadrant","Location","1",""
"35",593.575,596.825,3.25,"R1","Quadrant","Location","1",""
"36",594.076,594.83,0.754,"R2","Snuggle","Interaction","R1",""
"37",594.83,596.581,1.751,"R2","Chase","Interaction","R1",""
"38",595.073,596.571,1.498,"R1","Chase","Interaction","R2",""
"39",596.581,606.593,10.012,"R2","Quadrant","Location","3",""
"40",596.826,607.317,10.491,"R1","Quadrant","Location","2",""
"41",596.826,604.314,7.488,"R1","Touching","Distance","Robot",""
"42",599.826,604.59,4.764,"R2","Touching","Distance","Plush",""
"43",606.274,885.29,279.016,"Donor","Snuggle","Interaction","R4",""
"44",606.594,616.596,10.002,"R2","Quadrant","Location","0",""
"45",607.023,609.269,2.246,"Donor","Touching","Distance","Cups",""
"46",607.318,617.645,10.327,"R1","Quadrant","Location","1",""
"47",607.318,611.07,3.752,"R1","Touching","Distance","Cat Tower Toy",""
"48",609.27,613.53,4.26,"Donor","Touching","Distance","Plush",""
"49",610.102,618.607,8.505,"R4","Touching","Distance","R3",""
"50",613.577,617.646,4.069,"R1","Touching","Distance","Cat Tower Toy",""
"51",614.035,622.532,8.497,"Donor","Quadrant","Location","3",""
"52",614.036,622.531,8.495,"Donor","Quadrant","Location","2",""
"53",615.552,618.782,3.23,"R3","Touching","Distance","R4",""
